date,Time,Count15,Count30,Count60,weekday,zone,timestamp,sequence,tag,lane,speed(kph),average_speed(kph),direction,class_number,class_name,axle_count,wheelbase(m),length(m),presence,width(m),distance(m),min_distance(m),max_distance(m),VC15,VC30,VC60
2/8/2014,4:24:12 PM,8:33:20,7:03:20,4:03:20,Saturday,,1391876652,,,Lane 1,124.7,124.6,>,1,Short Vehicle,2,3.077,,,15.9,31.6,23.5,39.7,0,0,219
2/8/2014,4:24:16 PM,8:48:20,7:33:20,5:03:20,Saturday,,1391876656,,,Lane 2,133.1,132.9,>,1,Short Vehicle,2,2.849,,,15.2,60,52.3,67.6,0,0,177
2/8/2014,4:24:26 PM,9:03:20,8:03:20,6:03:20,Saturday,,1391876666,,,Lane 1,114.9,114.6,>,1,Short Vehicle,2,3.131,,,13.4,31,24.1,37.8,0,0,181
2/8/2014,4:25:08 PM,9:18:20,8:33:20,7:03:20,Saturday,,1391876708,,,Lane 1,96.1,95.7,>,1,Short Vehicle,2,2.767,,,14.1,31.7,24.6,38.9,0,0,204
2/8/2014,4:25:20 PM,9:33:20,9:03:20,8:03:20,Saturday,,1391876720,,,Lane 2,115.7,115.8,>,1,Short Vehicle,2,2.851,,,13.9,64.9,57.8,72,0,0,198
2/8/2014,4:25:28 PM,9:48:20,9:33:20,9:03:20,Saturday,,1391876728,,,Lane 1,89.7,89.7,>,1,Short Vehicle,2,2.535,,,12.6,31,24.4,37.5,0,0,172
2/8/2014,4:25:47 PM,10:03:20,10:03:20,10:03:20,Saturday,,1391876747,,,Lane 1,105.4,105.4,>,1,Short Vehicle,2,2.778,,,14.6,31.6,24.2,39,0,0,528
2/8/2014,4:26:13 PM,10:18:20,10:33:20,11:03:20,Saturday,,1391876773,,,Lane 2,135.5,135.6,>,1,Short Vehicle,2,2.839,,,13.9,63.1,56.1,70.1,0,0,595
2/8/2014,4:26:17 PM,10:33:20,11:03:20,12:03:20,Saturday,,1391876777,,,Lane 2,116,115.9,>,1,Short Vehicle,2,2.853,,,14.8,59.3,51.7,66.9,0,0,767
2/8/2014,4:26:20 PM,10:48:20,11:33:20,13:03:20,Saturday,,1391876780,,,Lane 1,85.6,85.8,>,1,Short Vehicle,2,2.962,,,12.6,25.1,18.6,31.6,0,0,803
2/8/2014,4:26:23 PM,11:03:20,12:03:20,14:03:20,Saturday,,1391876783,,,Lane 2,129.4,129.6,>,1,Short Vehicle,2,2.849,,,14.5,60,52.4,67.5,0,0,737
2/8/2014,4:26:31 PM,11:18:20,12:33:20,15:03:20,Saturday,,1391876791,,,Lane 1,98.8,99,>,1,Short Vehicle,2,2.86,,,14.3,33.7,25.9,41.6,0,0,691
2/8/2014,4:27:11 PM,11:33:20,13:03:20,16:03:20,Saturday,,1391876831,,,Lane 1,91.2,91.2,>,1,Short Vehicle,2,3.086,,,14.3,32.5,25,39.9,0,0,808
2/8/2014,4:27:42 PM,11:48:20,13:33:20,17:03:20,Saturday,,1391876862,,,Lane 2,132.7,132.7,>,1,Short Vehicle,2,3.076,,,15.1,61.4,53.8,69,0,0,1060
2/8/2014,4:27:45 PM,12:03:20,14:03:20,18:03:20,Saturday,,1391876865,,,Lane 1,121,120.7,>,1,Short Vehicle,2,2.912,,,14.3,29.4,22.2,36.7,0,0,1082
2/8/2014,4:28:08 PM,12:18:20,14:33:20,19:03:20,Saturday,,1391876888,,,Lane 2,111.8,111.7,>,1,Short Vehicle,2,2.846,,,15.4,59.6,51.8,67.4,0,0,750
2/8/2014,4:28:29 PM,12:33:20,15:03:20,20:03:20,Saturday,,1391876909,,,Lane 1,100.5,100.4,>,1,Short Vehicle,2,3.085,,,14.6,37.6,29.5,45.7,0,0,369
2/8/2014,4:28:51 PM,12:48:20,15:33:20,21:03:20,Saturday,,1391876931,,,Lane 2,85.3,85.2,>,1,Short Vehicle,2,2.775,,,14.5,60.2,52.9,67.5,0,0,135
2/8/2014,4:29:03 PM,13:03:20,16:03:20,22:03:20,Saturday,,1391876943,,,Lane 2,101.8,102,>,1,Short Vehicle,2,2.858,,,14.5,63.4,55.8,71,0,0,132
2/8/2014,4:29:22 PM,13:18:20,16:33:20,23:03:20,Saturday,,1391876962,,,Lane 1,90.2,90.3,>,3,Two Axle Truck or Bus,2,3.308,,,14.7,32,24.1,39.8,0,0,0
2/8/2014,4:29:45 PM,13:33:20,17:03:20,0:03:20,Saturday,,1391876985,,,Lane 2,100.7,100.7,>,1,Short Vehicle,2,2.794,,,13.8,53.2,46.1,60.4,0,0,35
2/8/2014,4:29:51 PM,13:48:20,17:33:20,1:03:20,Saturday,,1391876991,,,Lane 1,67.5,67.3,>,7,Four Axle Articulated,4,14.686,,,18.8,25.7,15.8,35.5,0,0,145
2/8/2014,4:30:49 PM,14:03:20,18:03:20,2:03:20,Saturday,,1391877049,,,Lane 1,90.2,90.1,>,1,Short Vehicle,2,2.847,,,15.3,43.4,35.6,51.1,0,0,278
2/8/2014,4:30:54 PM,14:18:20,18:33:20,3:03:20,Saturday,,1391877054,,,Lane 1,107,106.7,>,1,Short Vehicle,2,2.972,,,15.4,35.4,27.6,43.3,0,0,383
2/8/2014,4:31:02 PM,14:33:20,19:03:20,4:03:20,Saturday,,1391877062,,,Lane 1,120.1,120,>,1,Short Vehicle,2,2.733,,,13.5,40.1,33.3,47,0,0,219
2/8/2014,4:31:04 PM,14:48:20,19:33:20,5:03:20,Saturday,,1391877064,,,Lane 2,116.2,115.8,>,1,Short Vehicle,2,3.098,,,14.1,60.5,53.3,67.8,0,0,177
2/8/2014,4:31:05 PM,15:03:20,20:03:20,6:03:20,Saturday,,1391877065,,,Lane 2,117.7,117.8,>,1,Short Vehicle,2,2.652,,,13.2,59.7,52.8,66.5,0,0,181
2/8/2014,4:31:10 PM,15:18:20,20:33:20,7:03:20,Saturday,,1391877070,,,Lane 2,113.2,113.1,>,1,Short Vehicle,2,2.736,,,14.3,51.9,44.7,59.2,0,0,204
2/8/2014,4:31:20 PM,15:33:20,21:03:20,8:03:20,Saturday,,1391877080,,,Lane 1,94.7,94.6,>,1,Short Vehicle,2,2.825,,,13.7,32.9,26,39.8,0,0,198
2/8/2014,4:31:36 PM,15:48:20,21:33:20,9:03:20,Saturday,,1391877096,,,Lane 2,128.9,129,>,1,Short Vehicle,2,2.819,,,12.8,55.8,49.2,62.4,0,0,172
2/8/2014,4:31:37 PM,16:03:20,22:03:20,10:03:20,Saturday,,1391877097,,,Lane 1,90.3,90.2,>,3,Two Axle Truck or Bus,2,3.364,,,14.9,26.1,18.1,34.1,0,0,528
2/8/2014,4:31:39 PM,16:18:20,22:33:20,11:03:20,Saturday,,1391877099,,,Lane 2,127.5,127.5,>,1,Short Vehicle,2,2.846,,,15.2,56.6,48.8,64.4,0,0,595
2/8/2014,4:32:06 PM,16:33:20,23:03:20,12:03:20,Saturday,,1391877126,,,Lane 1,127.1,127.1,>,1,Short Vehicle,2,3.087,,,14.1,40.2,33.1,47.3,0,0,767
2/8/2014,4:32:15 PM,16:48:20,23:33:20,13:03:20,Saturday,,1391877135,,,Lane 2,135.3,135.2,>,1,Short Vehicle,2,3.079,,,15.2,60.6,52.7,68.6,0,0,803
2/8/2014,4:32:17 PM,17:03:20,0:03:20,14:03:20,Saturday,,1391877137,,,Lane 1,106.8,106.9,>,1,Short Vehicle,2,3.081,,,14.4,30,22.8,37.3,0,0,737
2/8/2014,4:32:43 PM,17:18:20,0:33:20,15:03:20,Saturday,,1391877163,,,Lane 1,87.2,87,>,1,Short Vehicle,2,2.756,,,13.9,30.4,23.2,37.5,0,0,691
2/8/2014,4:32:47 PM,17:33:20,1:03:20,16:03:20,Saturday,,1391877167,,,Lane 2,104,104,>,1,Short Vehicle,2,2.653,,,14.1,45.8,38.6,53,0,0,784
2/8/2014,4:32:55 PM,17:48:20,1:33:20,17:03:20,Saturday,,1391877175,,,Lane 1,102.9,102.8,>,3,Two Axle Truck or Bus,2,3.703,,,15.9,29.4,21.3,37.5,0,0,1060
2/8/2014,4:33:01 PM,18:03:20,2:03:20,18:03:20,Saturday,,1391877181,,,Lane 1,109,109,>,1,Short Vehicle,2,2.706,,,14.6,32.5,24.8,40.1,0,0,1082
2/8/2014,4:33:29 PM,18:18:20,2:33:20,19:03:20,Saturday,,1391877209,,,Lane 2,139.5,139.5,>,1,Short Vehicle,2,2.844,,,15.3,59.8,52.1,67.6,0,0,750
2/8/2014,4:34:15 PM,18:33:20,3:03:20,20:03:20,Saturday,,1391877255,,,Lane 2,130.9,130.9,>,1,Short Vehicle,2,2.851,,,15.5,59.3,51.4,67.2,0,0,369
2/8/2014,4:34:37 PM,18:48:20,3:33:20,21:03:20,Saturday,,1391877277,,,Lane 2,104.3,104.2,>,1,Short Vehicle,2,2.895,,,15.2,58.7,51.1,66.4,0,0,135
2/8/2014,4:35:01 PM,19:03:20,4:03:20,22:03:20,Saturday,,1391877301,,,Lane 2,104.7,104.6,>,1,Short Vehicle,2,2.853,,,13.5,59.7,52.8,66.6,0,0,132
2/8/2014,4:35:10 PM,19:18:20,4:33:20,23:03:20,Saturday,,1391877310,,,Lane 2,115.2,114.9,>,1,Short Vehicle,2,2.86,,,14.1,44.9,37.8,52.1,0,0,0
2/8/2014,4:35:11 PM,19:33:20,5:03:20,0:03:20,Saturday,,1391877311,,,Lane 2,111.3,111.3,>,1,Short Vehicle,2,2.852,,,13.8,57.4,50.4,64.4,0,0,35
2/8/2014,4:35:12 PM,19:48:20,5:33:20,1:03:20,Saturday,,1391877312,,,Lane 1,71.3,71.4,>,3,Two Axle Truck or Bus,2,3.352,,,15.4,24.3,16.2,32.4,0,0,145
2/8/2014,4:35:24 PM,20:03:20,6:03:20,2:03:20,Saturday,,1391877324,,,Lane 1,95.7,95.5,>,1,Short Vehicle,2,2.952,,,15.3,32.6,24.8,40.3,0,0,278
2/8/2014,4:35:40 PM,20:18:20,6:33:20,3:03:20,Saturday,,1391877340,,,Lane 2,134.1,134.5,>,1,Short Vehicle,2,3.138,,,14.4,59.9,52.5,67.3,0,0,383
2/8/2014,4:35:41 PM,20:33:20,7:03:20,4:03:20,Saturday,,1391877341,,,Lane 1,103.4,103.1,>,1,Short Vehicle,2,2.861,,,13.2,34.1,27.3,40.8,0,0,219
2/8/2014,4:36:00 PM,20:48:20,7:33:20,5:03:20,Saturday,,1391877360,,,Lane 2,127.6,127.5,>,1,Short Vehicle,2,2.904,,,12.8,59.7,52.4,66.9,0,0,177
2/8/2014,4:36:02 PM,21:03:20,8:03:20,6:03:20,Saturday,,1391877362,,,Lane 1,125.1,124.8,>,1,Short Vehicle,2,2.738,,,14.7,30.3,22.9,37.8,0,0,181
2/8/2014,4:36:31 PM,21:18:20,8:33:20,7:03:20,Saturday,,1391877391,,,Lane 1,96.8,96.7,>,1,Short Vehicle,2,2.851,,,15.8,37,29,45,0,0,204
2/8/2014,4:36:41 PM,21:33:20,9:03:20,8:03:20,Saturday,,1391877401,,,Lane 2,98.3,98.2,>,1,Short Vehicle,2,2.836,,,12.8,58.4,52,64.9,0,0,198
2/8/2014,4:36:56 PM,21:48:20,9:33:20,9:03:20,Saturday,,1391877416,,,Lane 2,129.5,129.7,>,1,Short Vehicle,2,3.08,,,12.6,61.9,53.7,70.1,0,0,172
2/8/2014,4:36:58 PM,22:03:20,10:03:20,10:03:20,Saturday,,1391877418,,,Lane 1,64.6,64.5,>,3,Two Axle Truck or Bus,2,3.339,,,15.7,29,20.9,37,0,0,528
2/8/2014,4:37:12 PM,22:18:20,10:33:20,11:03:20,Saturday,,1391877432,,,Lane 2,108.8,108.5,>,1,Short Vehicle,2,2.773,,,12.1,54.1,47.7,60.6,0,0,595
2/8/2014,4:37:24 PM,22:33:20,11:03:20,12:03:20,Saturday,,1391877444,,,Lane 1,83.5,83.5,>,1,Short Vehicle,2,2.61,,,13.4,27.9,20.9,34.9,0,0,767
2/8/2014,4:37:35 PM,22:48:20,11:33:20,13:03:20,Saturday,,1391877455,,,Lane 2,123.7,123.2,>,3,Two Axle Truck or Bus,2,3.307,,,14.8,56,48.2,63.7,0,0,803
2/8/2014,4:37:51 PM,23:03:20,12:03:20,14:03:20,Saturday,,1391877471,,,Lane 1,89.3,89.1,>,3,Two Axle Truck or Bus,2,3.346,,,16.2,25.6,17.2,34,0,0,737
2/8/2014,4:38:14 PM,23:18:20,12:33:20,15:03:20,Saturday,,1391877494,,,Lane 1,83.9,83.8,>,1,Short Vehicle,2,3.178,,,12.6,28.8,21.5,36,0,0,691
2/8/2014,4:38:27 PM,23:33:20,13:03:20,16:03:20,Saturday,,1391877507,,,Lane 2,127.5,127.4,>,1,Short Vehicle,2,2.851,,,14.4,60,52.5,67.5,0,0,760
2/8/2014,4:38:29 PM,23:48:20,13:33:20,17:03:20,Saturday,,1391877509,,,Lane 1,100.1,100.1,>,3,Two Axle Truck or Bus,2,3.205,,,10.9,30.3,24,36.5,0,0,1060
2/8/2014,4:39:43 PM,0:03:20,14:03:20,18:03:20,Saturday,,1391877583,,,Lane 1,124.1,124.3,>,1,Short Vehicle,2,2.973,,,9.6,29.6,22.9,36.3,0,0,1082
2/8/2014,4:40:08 PM,0:18:20,14:33:20,19:03:20,Saturday,,1391877608,,,Lane 1,115.5,115.5,>,1,Short Vehicle,2,2.612,,,13.7,32,25,39,0,0,750
2/8/2014,4:40:11 PM,0:33:20,15:03:20,20:03:20,Saturday,,1391877611,,,Lane 1,120.1,120,>,1,Short Vehicle,2,3.076,,,15.8,26.9,18.9,34.8,0,0,369
2/8/2014,4:40:47 PM,0:48:20,15:33:20,21:03:20,Saturday,,1391877647,,,Lane 2,107.5,107.3,>,3,Two Axle Truck or Bus,2,3.256,,,15,59.4,51.9,67,0,0,135
2/8/2014,4:40:48 PM,1:03:20,16:03:20,22:03:20,Saturday,,1391877648,,,Lane 1,108.2,108.2,>,1,Short Vehicle,2,3.08,,,15.7,27.1,19.1,35,0,0,132
2/8/2014,4:41:02 PM,1:18:20,16:33:20,23:03:20,Saturday,,1391877662,,,Lane 2,134.9,135.1,>,1,Short Vehicle,2,2.848,,,14.7,58.3,50.7,65.9,0,0,0
2/8/2014,4:41:04 PM,1:33:20,17:03:20,0:03:20,Saturday,,1391877664,,,Lane 2,136.6,136.4,>,1,Short Vehicle,2,3.092,,,13.1,63.1,56.3,69.9,0,0,35
2/8/2014,4:41:11 PM,1:48:20,17:33:20,1:03:20,Saturday,,1391877671,,,Lane 1,102.2,102,>,1,Short Vehicle,2,2.783,,,14.2,30.8,23.5,38,0,0,145
2/8/2014,4:41:14 PM,2:03:20,18:03:20,2:03:20,Saturday,,1391877674,,,Lane 2,110.8,110.6,>,1,Short Vehicle,2,3.078,,,16,62.1,53.9,70.2,0,0,278
2/8/2014,4:41:56 PM,2:18:20,18:33:20,3:03:20,Saturday,,1391877716,,,Lane 1,93,92.9,>,1,Short Vehicle,2,2.771,,,14.2,27.6,20.5,34.8,0,0,383
2/8/2014,4:42:03 PM,2:33:20,19:03:20,4:03:20,Saturday,,1391877723,,,Lane 2,99.2,99,>,1,Short Vehicle,2,2.852,,,15.8,49.1,41.1,57,0,0,219
2/8/2014,4:42:24 PM,2:48:20,19:33:20,5:03:20,Saturday,,1391877744,,,Lane 2,119.5,119.4,>,1,Short Vehicle,2,2.774,,,14.2,57.3,50.1,64.6,0,0,177
2/8/2014,4:42:35 PM,3:03:20,20:03:20,6:03:20,Saturday,,1391877755,,,Lane 2,139.4,139.4,>,1,Short Vehicle,2,2.91,,,14.1,52.6,45.3,59.9,0,0,181
2/8/2014,4:42:38 PM,3:18:20,20:33:20,7:03:20,Saturday,,1391877758,,,Lane 2,139.2,138.9,>,1,Short Vehicle,2,2.769,,,12.1,57.3,51,63.7,0,0,204
2/8/2014,4:42:46 PM,3:33:20,21:03:20,8:03:20,Saturday,,1391877766,,,Lane 1,136.7,136.5,>,1,Short Vehicle,2,2.857,,,14,33,25.6,40.4,0,0,198
2/8/2014,4:43:07 PM,3:48:20,21:33:20,9:03:20,Saturday,,1391877787,,,Lane 1,118.2,118,>,3,Two Axle Truck or Bus,2,3.236,,,15.7,34.8,26.9,42.8,0,0,172
2/8/2014,4:43:28 PM,4:03:20,22:03:20,10:03:20,Saturday,,1391877808,,,Lane 1,91.3,91.2,>,1,Short Vehicle,2,3.077,,,12.6,38.1,31.7,44.5,0,0,528
2/8/2014,4:43:46 PM,4:18:20,22:33:20,11:03:20,Saturday,,1391877826,,,Lane 1,105.4,105.5,>,1,Short Vehicle,2,2.974,,,14.5,31.2,23.6,38.9,0,0,595
2/8/2014,4:44:34 PM,4:33:20,23:03:20,12:03:20,Saturday,,1391877874,,,Lane 2,106.7,106.7,>,1,Short Vehicle,2,3.079,,,15.6,54.1,46.1,62,0,0,767
2/8/2014,4:44:49 PM,4:48:20,23:33:20,13:03:20,Saturday,,1391877889,,,Lane 1,110.6,110.4,>,1,Short Vehicle,2,2.925,,,13.1,32.3,25.5,39.1,0,0,803
2/8/2014,4:45:13 PM,5:03:20,0:03:20,14:03:20,Saturday,,1391877913,,,Lane 1,78.8,78.8,>,3,Two Axle Truck or Bus,2,3.371,,,15.3,28.7,20.4,36.9,0,0,737
2/8/2014,4:45:15 PM,5:18:20,0:33:20,15:03:20,Saturday,,1391877915,,,Lane 2,115.7,115.7,>,1,Short Vehicle,2,2.904,,,14.6,61.6,54.1,69.1,0,0,691
2/8/2014,4:45:20 PM,5:33:20,1:03:20,16:03:20,Saturday,,1391877920,,,Lane 2,139.9,139.6,>,1,Short Vehicle,2,2.778,,,14,58.7,51.6,65.8,0,0,736
2/8/2014,4:45:39 PM,5:48:20,1:33:20,17:03:20,Saturday,,1391877939,,,Lane 1,78.7,78,>,7,Four Axle Articulated,4,12.967,,,17.2,30.9,20.9,40.9,0,0,1060
2/8/2014,4:45:43 PM,6:03:20,2:03:20,18:03:20,Saturday,,1391877943,,,Lane 1,92.3,92.1,>,3,Two Axle Truck or Bus,2,3.367,,,15.8,30.5,22.4,38.6,0,0,1082
2/8/2014,4:45:45 PM,6:18:20,2:33:20,19:03:20,Saturday,,1391877945,,,Lane 2,118.1,118,>,1,Short Vehicle,2,2.907,,,13.9,62.2,55.1,69.2,0,0,750
2/8/2014,4:45:58 PM,6:33:20,3:03:20,20:03:20,Saturday,,1391877958,,,Lane 2,133.4,133.5,>,1,Short Vehicle,2,3.035,,,15.9,62.3,54.2,70.4,0,0,369
2/8/2014,4:45:59 PM,6:48:20,3:33:20,21:03:20,Saturday,,1391877959,,,Lane 1,105.3,105.2,>,1,Short Vehicle,2,3.065,,,13.5,31.2,24.1,38.2,0,0,135
2/8/2014,4:45:59 PM,7:03:20,4:03:20,22:03:20,Saturday,,1391877959,,,Lane 2,131.5,131.6,>,1,Short Vehicle,2,3.122,,,11.2,63.2,56.5,69.9,0,0,132
2/8/2014,4:46:01 PM,7:18:20,4:33:20,23:03:20,Saturday,,1391877961,,,Lane 1,106.4,106.5,>,1,Short Vehicle,2,2.582,,,13.8,28.3,21.3,35.3,0,0,0
2/8/2014,4:46:04 PM,7:33:20,5:03:20,0:03:20,Saturday,,1391877964,,,Lane 2,133.2,133.2,>,1,Short Vehicle,2,2.856,,,13.5,61.1,53.7,68.6,0,0,35
2/8/2014,4:46:05 PM,7:48:20,5:33:20,1:03:20,Saturday,,1391877965,,,Lane 2,132,131.9,>,1,Short Vehicle,2,3.031,,,15.5,62.9,54.9,70.9,0,0,145
2/8/2014,4:46:12 PM,8:03:20,6:03:20,2:03:20,Saturday,,1391877972,,,Lane 2,156.6,157,>,1,Short Vehicle,2,2.843,,,13.8,59.8,52.8,66.8,0,0,278
2/8/2014,4:46:14 PM,8:18:20,6:33:20,3:03:20,Saturday,,1391877974,,,Lane 1,86,86.1,>,1,Short Vehicle,2,2.599,,,12.6,31,24.5,37.5,0,0,383
2/8/2014,4:46:15 PM,8:33:20,7:03:20,4:03:20,Saturday,,1391877975,,,Lane 2,121.2,121,>,1,Short Vehicle,2,2.849,,,15.6,60.9,53,68.8,0,0,219
2/8/2014,4:46:17 PM,8:48:20,7:33:20,5:03:20,Saturday,,1391877977,,,Lane 1,111.5,111.6,>,1,Short Vehicle,2,2.596,,,13.8,31.6,24.6,38.7,0,0,177
2/8/2014,4:46:23 PM,9:03:20,8:03:20,6:03:20,Saturday,,1391877983,,,Lane 1,110.9,110.9,>,1,Short Vehicle,2,2.856,,,15.6,29.3,21.4,37.2,0,0,181
2/8/2014,4:46:26 PM,9:18:20,8:33:20,7:03:20,Saturday,,1391877986,,,Lane 1,127.5,127.7,>,1,Short Vehicle,2,2.806,,,14.1,28.4,21.2,35.6,0,0,204
2/8/2014,4:46:27 PM,9:33:20,9:03:20,8:03:20,Saturday,,1391877987,,,Lane 2,117.2,116.9,>,1,Short Vehicle,2,3.083,,,12.8,63,55,71.1,0,0,198
2/8/2014,4:46:54 PM,9:48:20,9:33:20,9:03:20,Saturday,,1391878014,,,Lane 2,132.6,132.5,>,1,Short Vehicle,2,2.969,,,14.8,59.2,51.7,66.7,0,0,172
2/8/2014,4:46:58 PM,10:03:20,10:03:20,10:03:20,Saturday,,1391878018,,,Lane 2,150.9,151,>,1,Short Vehicle,2,2.97,,,13.8,60.6,53.6,67.7,0,0,528
2/8/2014,4:47:01 PM,10:18:20,10:33:20,11:03:20,Saturday,,1391878021,,,Lane 1,103.2,103.2,>,1,Short Vehicle,2,2.769,,,14,30.3,23.2,37.3,0,0,595
2/8/2014,4:47:12 PM,10:33:20,11:03:20,12:03:20,Saturday,,1391878032,,,Lane 1,117.8,118,>,1,Short Vehicle,2,2.778,,,12.8,31.1,24.5,37.6,0,0,767
2/8/2014,4:47:33 PM,10:48:20,11:33:20,13:03:20,Saturday,,1391878053,,,Lane 1,103.1,102.8,>,1,Short Vehicle,2,2.617,,,11.7,28.6,21.4,35.7,0,0,803
2/8/2014,4:48:07 PM,11:03:20,12:03:20,14:03:20,Saturday,,1391878087,,,Lane 2,88,87.8,>,1,Short Vehicle,2,2.953,,,15.8,59.7,51.7,67.7,0,0,737
2/8/2014,4:48:09 PM,11:18:20,12:33:20,15:03:20,Saturday,,1391878089,,,Lane 2,118.1,117.9,>,1,Short Vehicle,2,2.718,,,13.5,56.3,49.4,63.2,0,0,691
2/8/2014,4:48:23 PM,11:33:20,13:03:20,16:03:20,Saturday,,1391878103,,,Lane 1,82.9,82.9,>,1,Short Vehicle,2,2.939,,,12.7,25.9,18.8,33,0,0,712
2/8/2014,4:48:24 PM,11:48:20,13:33:20,17:03:20,Saturday,,1391878104,,,Lane 2,133.6,133.9,>,1,Short Vehicle,2,2.522,,,12.9,64.8,58.2,71.4,0,0,1060
2/8/2014,4:48:26 PM,12:03:20,14:03:20,18:03:20,Saturday,,1391878106,,,Lane 2,129,129,>,1,Short Vehicle,2,2.606,,,11.9,63.5,57.5,69.5,0,0,1082
2/8/2014,4:48:30 PM,12:18:20,14:33:20,19:03:20,Saturday,,1391878110,,,Lane 1,71.5,71.4,>,3,Two Axle Truck or Bus,2,3.358,,,14.2,28.5,20.9,36.1,0,0,750
2/8/2014,4:48:40 PM,12:33:20,15:03:20,20:03:20,Saturday,,1391878120,,,Lane 1,111.5,111.6,>,1,Short Vehicle,2,2.85,,,15.2,34.3,26.6,42,0,0,369
2/8/2014,4:48:56 PM,12:48:20,15:33:20,21:03:20,Saturday,,1391878136,,,Lane 1,99.6,99.7,>,3,Two Axle Truck or Bus,2,3.307,,,12.3,38.9,32.7,45.1,0,0,135
2/8/2014,4:49:04 PM,13:03:20,16:03:20,22:03:20,Saturday,,1391878144,,,Lane 1,109.9,109.8,>,1,Short Vehicle,2,3.082,,,15.3,28.5,20.8,36.2,0,0,132
2/8/2014,4:49:10 PM,13:18:20,16:33:20,23:03:20,Saturday,,1391878150,,,Lane 2,123.7,124,>,1,Short Vehicle,2,2.611,,,14.1,48.9,41.7,56.2,0,0,0
2/8/2014,4:49:12 PM,13:33:20,17:03:20,0:03:20,Saturday,,1391878152,,,Lane 2,114.9,114.8,>,1,Short Vehicle,2,2.836,,,12.3,59.9,53.6,66.1,0,0,35
2/8/2014,4:49:20 PM,13:48:20,17:33:20,1:03:20,Saturday,,1391878160,,,Lane 1,96.5,96.6,>,3,Two Axle Truck or Bus,2,3.37,,,16,30.2,21.9,38.5,0,0,145
2/8/2014,4:49:32 PM,14:03:20,18:03:20,2:03:20,Saturday,,1391878172,,,Lane 1,125,125.4,>,1,Short Vehicle,2,2.98,,,15.1,31.9,24.3,39.6,0,0,278
2/8/2014,4:50:18 PM,14:18:20,18:33:20,3:03:20,Saturday,,1391878218,,,Lane 1,113.9,113.9,>,1,Short Vehicle,2,3.187,,,13.3,30.5,23.4,37.5,0,0,383
2/8/2014,4:50:24 PM,14:33:20,19:03:20,4:03:20,Saturday,,1391878224,,,Lane 1,115,114.7,>,1,Short Vehicle,2,2.847,,,14.9,29.6,22.1,37.1,0,0,219
2/8/2014,4:50:31 PM,14:48:20,19:33:20,5:03:20,Saturday,,1391878231,,,Lane 1,126.7,126.5,>,1,Short Vehicle,2,2.971,,,12.3,31.5,24.5,38.5,0,0,177
2/8/2014,4:50:57 PM,15:03:20,20:03:20,6:03:20,Saturday,,1391878257,,,Lane 2,131.6,131.5,>,1,Short Vehicle,2,3.162,,,13.8,58.4,51.5,65.3,0,0,181
2/8/2014,4:51:10 PM,15:18:20,20:33:20,7:03:20,Saturday,,1391878270,,,Lane 1,113.4,113.2,>,1,Short Vehicle,2,2.596,,,12.5,28,21.6,34.5,0,0,204
2/8/2014,4:51:25 PM,15:33:20,21:03:20,8:03:20,Saturday,,1391878285,,,Lane 2,107,106.9,>,1,Short Vehicle,2,2.917,,,14.3,58.1,50.9,65.4,0,0,198
2/8/2014,4:51:52 PM,15:48:20,21:33:20,9:03:20,Saturday,,1391878312,,,Lane 2,129.5,129.6,>,3,Two Axle Truck or Bus,2,3.652,,,14.7,59.1,51.6,66.6,0,0,172
2/8/2014,4:52:11 PM,16:03:20,22:03:20,10:03:20,Saturday,,1391878331,,,Lane 2,105.5,105.4,>,1,Short Vehicle,2,2.82,,,13.7,55.6,48.6,62.5,0,0,528
2/8/2014,4:52:18 PM,16:18:20,22:33:20,11:03:20,Saturday,,1391878338,,,Lane 2,138,138,>,1,Short Vehicle,2,2.92,,,14.6,55.4,47.9,62.9,0,0,595
2/8/2014,4:52:20 PM,16:33:20,23:03:20,12:03:20,Saturday,,1391878340,,,Lane 1,127.4,127.4,>,1,Short Vehicle,2,3.164,,,14.5,40.7,33.4,48,0,0,767
2/8/2014,4:52:34 PM,16:48:20,23:33:20,13:03:20,Saturday,,1391878354,,,Lane 2,135.7,135.9,>,1,Short Vehicle,2,2.692,,,14.1,61.5,54.1,68.8,0,0,803
2/8/2014,4:52:50 PM,17:03:20,0:03:20,14:03:20,Saturday,,1391878370,,,Lane 1,97.2,96.9,>,1,Short Vehicle,2,3.08,,,14.9,29.1,21.3,36.9,0,0,737
2/8/2014,4:53:07 PM,17:18:20,0:33:20,15:03:20,Saturday,,1391878387,,,Lane 1,116.5,116.8,>,1,Short Vehicle,2,3.096,,,15.7,30,22.1,37.9,0,0,691
2/8/2014,4:53:16 PM,17:33:20,1:03:20,16:03:20,Saturday,,1391878396,,,Lane 1,122.2,122.1,>,1,Short Vehicle,2,2.848,,,14.2,32.8,25.4,40.2,0,0,688
2/8/2014,4:53:28 PM,17:48:20,1:33:20,17:03:20,Saturday,,1391878408,,,Lane 2,108.8,108.9,>,1,Short Vehicle,2,2.851,,,15.3,65.3,57.5,73,0,0,1060
2/8/2014,4:53:31 PM,18:03:20,2:03:20,18:03:20,Saturday,,1391878411,,,Lane 1,118.1,118.1,>,1,Short Vehicle,2,2.849,,,12.7,36.4,29.4,43.4,0,0,1082
